species	state
1	Pogogyne_clareana	0
2	Monardella_odoratissima	0
3	Poliomintha_palmeri	0
4	Hedeoma_costata	0
5	Bystropogon_canariensis	0
6	Obtegomeria_caerulescens	0
7	Kurzamra_pulchella	0
8	Hoehnea_epilobioides	0
9	Hesperozygis_nitida	0
10	Monarda_bradburiana	0
11	Pycnanthemum_virginianum	0
12	Blephilia_ciliata	0
13	Glechon_marifolia	0
14	Rhabdocaulon_strictum	0
15	Cuminia_eriantha	0
16	Minthostachys_mollis	0
17	Clinopodium_macrostemum	0
18	Ziziphora_aragonensis	0
19	Conradina_grandiflora	0
20	Piloblephis_rigida	0
21	Dicerandra_frutescens	0
22	Cunila_origanoides	0
23	Rhododon_ciliatus	0
24	Acanthomintha_ilicifolia	0
25	Killickia_compacta	0
26	Mentha_arvensis	0
27	Micromeria_cymuligera	0
28	Cyclotrichium_longiflorum	0
29	Gontscharovia_popovii	0
30	Satureja_spicigera	0
31	Thymus_haussknechtii	0
32	Origanum_dictamnus	0
33	Saccocalyx_satureioides	0
34	Pentapleura_subulifera	0
35	Zataria_multiflora	0
36	Thymbra_calostachya	0
37	Coridothymus_capitatus	0
38	Prunella_vulgaris	0
39	Cleonia_lusitanica	0
40	Horminum_pyrenaicum	0
41	Lophanthus_laxiflorus	0
42	Nepeta_stewartiana	0
43	Marmoritis_complanatum	0
44	Drepanocaryum_sewerzowii	0
45	Dracocephalum_grandiflorum	0
46	Hyssopus_officinalis	0
47	Lallemantia_peltata	0
48	Agastache_urticifolia	0
49	Meehania_urticifolia	0
50	Glechoma_longituba	0
51	Cedronella_canariensis	0
52	Lycopus_lucidus	0
53	Lepechinia_mecistandra	0
54	Melissa_officinalis	0
55	Salvia_dorystaechas	0
56	Eriope_complicata	0
57	Eriopidion_strictum	0
58	Hypenia_marifolia	0
59	Physominthe_vitifolia	0
60	Rhaphiodon_echinus	0
61	Hyptidendron_vepretorum	0
62	Gymneia_platanifolia	0
63	Mesosphaerum_suaveolens	0
64	Condea_verticillata	0
65	Hyptis_odorata	0
66	Leptohyptis_calida	0
67	Cyanocephalus_tagetifolius	0
68	Asterohyptis_seemannii	0
69	Martianthus_sancti-gabrielii	0
70	Medusantha_eriophylla	0
71	Eplingiella_fruticosa	0
72	Marsypianthes_montana	0
73	Oocephalus_oppositiflorus	0
74	Cantinoa_americana	0
75	Syncolostemon_rotundifolius	0
76	Ocimum_filamentosum	0
77	Orthosiphon_rotundifolius	0
78	Fuerstia_africana	0
79	Hoslundia_opposita	0
80	Endostemon_obtusifolius	0
81	Haumaniastrum_katangense	0
82	Platostoma_hildebrandtii	0
83	Catoferia_chiapensis	0
84	Basilicum_polystachyon	0
85	Coleus_sanguineus	0
86	Alvesia_rosmarinifolia	0
87	Equilabium_laxiflorum	0
88	Thorncroftia_media	0
89	Tetradenia_nervosa	0
90	Aeollanthus_buchnerianus	0
91	Capitanopsis_brevilabra	0
92	Plectranthus_oertendahlii	0
93	Isodon_megathyrsus	0
94	Hanceola_sinensis	0
95	Lavandula_angustifolia	0
96	Siphocranion_macranthum	0
97	Elsholtzia_rugulosa	0
98	Keiskea_japonica	0
99	Perilla_frutescens	0
100	Mosla_dianthera	0
101	Collinsonia_canadensis	0
102	Ombrocharis_dulcis	0
103	Perillula_reptans	0
104	Teucrium_corymbosum	0
105	Clerodendrum_colebrookianum	0
106	Volkameria_buchananii	0
107	Amasonia_hirta	0
108	Ovieda_spinosa	0
109	Aegiphila_brachiata	0
110	Tetraclea_coulteri	0
111	Rotheca_uncinata	0
112	Oxera_sulfurea	0
113	Hosea_lobbii	0
114	Ajuga_chamaepitys	0
115	Caryopteris_incana	0
116	Lamium_galactophyllum	0
117	Eriophyton_wallichii	0
118	Leonurus_sibiricus	0
119	Leonotis_leonurus	0
120	Pseudodictamnus_africanus	0
121	Ballota_nigra	0
122	Marrubium_vulgare	0
123	Pseuderemostachys_sewerzovii	0
124	Notochaete_hamosa	0
125	Phlomoides_tuberosa	0
126	Eremostachys_rotala	0
127	Phlomis_herba-venti	0
128	Paraphlomis_javanica	0
129	Sideritis_gomerae	0
130	Stachys_arvensis	0
131	Suzukia_shikikunensis	0
132	Melittis_melissophyllum	0
133	Betonica_officinalis	0
134	Galeopsis_angustifolia	0
135	Colquhounia_coccinea	0
136	Gomphostemma_chinense	0
137	Pogostemon_rogersii	0
138	Anisomeles_indica	0
139	Craniotome_furcata	0
140	Eurysolen_gracilis	0
141	Leucosceptrum_japonicum	0
142	Holocheila_longipedunculata	0
143	Cymaria_dichotoma	0
144	Scutellaria_rehderiana	0
145	Premna_corymbosa	0
146	Tectona_grandis	0
147	Gmelina_fasciculiflora	0
148	Prostanthera_spinosa	0
149	Westringia_longifolia	0
150	Hemiandra_coccinea	0
151	Hemigenia_purpurea	0
152	Microcorys_tenuifolia	0
153	Cyanostegia_corifolia	0
154	Dicrastylis_exsuccosa	0
155	Brachysola_coerulea	0
156	Callicarpa_longifolia	0
157	Vitex_quinata	0
158	Congea_tomentosa	0
159	Pedicularis_petelotii	0
160	Leptorhabdos_parviflora	0
161	Castilleja_exserta	0
162	Triphysaria_pusilla	0
163	Chloropyron_tecopense	0
164	Cordylanthus_orcuttianus	0
165	Orthocarpus_pachystachyus	0
166	Agalinis_heterophylla	0
167	Aureolaria_pectinata	0
168	Dasistoma_macrophyllum	0
169	Brachystigma_wrightii	0
170	Seymeria_laciniata	0
171	Lamourouxia_rhinanthifolia	0
172	Pterygiella_parishii	0
173	Phtheirospermum_japonicum	0
174	Euphrasia_sevanensis	0
175	Neobartsia_inaequalis	0
176	Parentucellia_latifolia	0
177	Bellardia_trixago	0
178	Odontites_glutinosa	0
179	Nothobartsia_asperrima	0
180	Odontitella_virgata	0
181	Hedbergia_decurva	0
182	Tozzia_alpina	0
183	Bartsia_alpina	0
184	Rhinanthus_alectorolophus	0
185	Lathraea_squamaria	0
186	Rhynchocorys_orientalis	0
187	Melampyrum_pratense	0
188	Brandisia_swinglei	0
189	Siphonostegia_laeta	0
190	Monochasma_savatieri	0
191	Cymbaria_mongolica	0
192	Harveya_capensis	0
193	Hyobanche_atropurpurea	0
194	Alectra_orobanchoides	0
195	Melasma_strictum	0
196	Escobedia_grandiflora	0
197	Cycnium_racemosum	0
198	Striga_forbesii	0
199	Buchnera_cryptocephala	0
200	Sopubia_lemuriana	0
201	Micrargeria_filiformis	0
202	Graderia_scabra	0
203	Cyclocheilon_physocalyx	0
204	Asepalum_eriantherum	0
205	Aphyllon_tuberosum	0
