species	state
Pogogyne_clareana	0
Monardella_odoratissima	0
Poliomintha_palmeri	0
Hedeoma_costata	0
Bystropogon_canariensis	0
Obtegomeria_caerulescens	0
Kurzamra_pulchella	0
Hoehnea_epilobioides	0
Hesperozygis_nitida	0
Monarda_bradburiana	0
Pycnanthemum_virginianum	0
Blephilia_ciliata	0
Glechon_marifolia	0
Rhabdocaulon_strictum	0
Cuminia_eriantha	0
Minthostachys_mollis	0
Clinopodium_macrostemum	0
Ziziphora_aragonensis	0
Conradina_grandiflora	0
Piloblephis_rigida	0
Dicerandra_frutescens	0
Cunila_origanoides	0
Rhododon_ciliatus	0
Acanthomintha_ilicifolia	0
Killickia_compacta	0
Mentha_arvensis	0
Micromeria_cymuligera	0
Cyclotrichium_longiflorum	0
Gontscharovia_popovii	0
Satureja_spicigera	0
Thymus_haussknechtii	0
Origanum_dictamnus	0
Saccocalyx_satureioides	0
Pentapleura_subulifera	0
Zataria_multiflora	0
Thymbra_calostachya	0
Coridothymus_capitatus	0
Prunella_vulgaris	0
Cleonia_lusitanica	0
Horminum_pyrenaicum	0
Lophanthus_laxiflorus	0
Nepeta_stewartiana	0
Marmoritis_complanatum	0
Drepanocaryum_sewerzowii	0
Dracocephalum_grandiflorum	0
Hyssopus_officinalis	0
Lallemantia_peltata	0
Agastache_urticifolia	0
Meehania_urticifolia	0
Glechoma_longituba	0
Cedronella_canariensis	0
Lycopus_lucidus	0
Lepechinia_mecistandra	0
Melissa_officinalis	0
Salvia_dorystaechas	0
Eriope_complicata	0
Eriopidion_strictum	0
Hypenia_marifolia	0
Physominthe_vitifolia	0
Rhaphiodon_echinus	0
Hyptidendron_vepretorum	0
Gymneia_platanifolia	0
Mesosphaerum_suaveolens	0
Condea_verticillata	0
Hyptis_odorata	0
Leptohyptis_calida	0
Cyanocephalus_tagetifolius	0
Asterohyptis_seemannii	0
Martianthus_sancti-gabrielii	0
Medusantha_eriophylla	0
Eplingiella_fruticosa	0
Marsypianthes_montana	0
Oocephalus_oppositiflorus	0
Cantinoa_americana	0
Syncolostemon_rotundifolius	0
Ocimum_filamentosum	0
Orthosiphon_rotundifolius	0
Fuerstia_africana	0
Hoslundia_opposita	0
Endostemon_obtusifolius	0
Haumaniastrum_katangense	0
Platostoma_hildebrandtii	0
Catoferia_chiapensis	0
Basilicum_polystachyon	0
Coleus_sanguineus	0
Alvesia_rosmarinifolia	0
Equilabium_laxiflorum	0
Thorncroftia_media	0
Tetradenia_nervosa	0
Aeollanthus_buchnerianus	0
Capitanopsis_brevilabra	0
Plectranthus_oertendahlii	0
Isodon_megathyrsus	0
Hanceola_sinensis	0
Lavandula_angustifolia	0
Siphocranion_macranthum	0
Elsholtzia_rugulosa	0
Keiskea_japonica	0
Perilla_frutescens	0
Mosla_dianthera	0
Collinsonia_canadensis	0
Ombrocharis_dulcis	0
Perillula_reptans	0
Teucrium_corymbosum	0
Clerodendrum_colebrookianum	0
Volkameria_buchananii	0
Amasonia_hirta	0
Ovieda_spinosa	0
Aegiphila_brachiata	0
Tetraclea_coulteri	0
Rotheca_uncinata	0
Oxera_sulfurea	0
Hosea_lobbii	0
Ajuga_chamaepitys	0
Caryopteris_incana	0
Lamium_galactophyllum	0
Eriophyton_wallichii	0
Leonurus_sibiricus	0
Leonotis_leonurus	0
Pseudodictamnus_africanus	0
Ballota_nigra	0
Marrubium_vulgare	0
Pseuderemostachys_sewerzovii	0
Notochaete_hamosa	0
Phlomoides_tuberosa	0
Eremostachys_rotala	0
Phlomis_herba-venti	0
Paraphlomis_javanica	0
Sideritis_gomerae	0
Stachys_arvensis	0
Suzukia_shikikunensis	0
Melittis_melissophyllum	0
Betonica_officinalis	0
Galeopsis_angustifolia	0
Colquhounia_coccinea	0
Gomphostemma_chinense	0
Pogostemon_rogersii	0
Anisomeles_indica	0
Craniotome_furcata	0
Eurysolen_gracilis	0
Leucosceptrum_japonicum	0
Holocheila_longipedunculata	0
Cymaria_dichotoma	0
Scutellaria_rehderiana	0
Premna_corymbosa	0
Tectona_grandis	0
Gmelina_fasciculiflora	0
Prostanthera_spinosa	0
Westringia_longifolia	0
Hemiandra_coccinea	0
Hemigenia_purpurea	0
Microcorys_tenuifolia	0
Cyanostegia_corifolia	0
Dicrastylis_exsuccosa	0
Brachysola_coerulea	0
Callicarpa_longifolia	0
Vitex_quinata	0
Congea_tomentosa	0
Pedicularis_petelotii	0
Leptorhabdos_parviflora	0
Castilleja_exserta	0
Triphysaria_pusilla	0
Chloropyron_tecopense	0
Cordylanthus_orcuttianus	0
Orthocarpus_pachystachyus	0
Agalinis_heterophylla	0
Aureolaria_pectinata	0
Dasistoma_macrophyllum	0
Brachystigma_wrightii	0
Seymeria_laciniata	0
Lamourouxia_rhinanthifolia	0
Pterygiella_parishii	0
Phtheirospermum_japonicum	0
Euphrasia_sevanensis	0
Neobartsia_inaequalis	0
Parentucellia_latifolia	0
Bellardia_trixago	0
Odontites_glutinosa	0
Nothobartsia_asperrima	0
Odontitella_virgata	0
Hedbergia_decurva	0
Tozzia_alpina	0
Bartsia_alpina	0
Rhinanthus_alectorolophus	0
Lathraea_squamaria	0
Rhynchocorys_orientalis	0
Melampyrum_pratense	0
Brandisia_swinglei	0
Siphonostegia_laeta	0
Monochasma_savatieri	0
Cymbaria_mongolica	0
Harveya_capensis	0
Hyobanche_atropurpurea	0
Alectra_orobanchoides	0
Melasma_strictum	0
Escobedia_grandiflora	0
Cycnium_racemosum	0
Striga_forbesii	0
Buchnera_cryptocephala	0
Sopubia_lemuriana	0
Micrargeria_filiformis	0
Graderia_scabra	0
Cyclocheilon_physocalyx	0
Asepalum_eriantherum	0
Aphyllon_tuberosum	0
Boschniakia_himalaica	0
Orobanche_caryophyllacea	0
Platypholis_boninsimae	0
Lindenbergia_siniaca	0
Rehmannia_chingii	0
Triaenophora_rupestris	0
Paulownia_tomentosa	0
Erythranthe_gemmipara	0
Leucocarpus_perfoliatus	0
Diplacus_pictus	0
Hemichaena_fruticosa	0
Phryma_leptostachya	0
Glossostigma_elatinoides	0
Elacholoma_prostrata	0
Peplidium_foecundum	0
Mimulus_gracilis	0
Mazus_omeiensis	0
Dodartia_orientalis	0
Lancea_tibetica	0
Strobilanthes_tomentosa	0
Ruellia_californica	0
Suessenguthia_trochilophila	0
Sanchezia_lutea	0
Louteridium_chartaceum	0
Mimulopsis_arborescens	0
Mellera_nyassana	0
Petalidium_variabile	0
Hemigraphis_hirta	0
Dyschoriste_setigera	0
Phaulopsis_imbricata	0
Ruelliopsis_setosa	0
Hygrophila_corymbosa	0
Lepidagathis_cuspidata	0
Bravaisia_integerrima	0
Diceratotheca_bracteolata	0
Eranthemum_tetragonum	0
Pararuellia_flagelliformis	0
Physacanthus_batanganus	0
Aphelandra_campanensis	0
Holographis_verticillata	0
Neriacanthus_grandiflorus	0
Geissomeria_longiflora	0
Salpixantha_coccinea	0
Stenandrium_pilosulum	0
Achyrocalyx_decaryi	0
Stenandriopsis_afromontana	0
Acanthus_leucostachyus	0
Acanthopsis_carduifolia	0
Blepharis_integrifolia	0
Crossandra_pungens	0
Crossandrella_dusenii	0
Sclerochiton_harveyanus	0
Kudoacanthus_albonervosus	0
Barleria_ovata	0
Lasiocladus_villosus	0
Crabbea_velutina	0
Phlogacanthus_thyrsiformis	0
Pseuderanthemum_latifolium	0
Gymnostachyum_ceylanicum	0
Andrographis_echioides	0
Whitfieldia_elongata	0
Camarotea_souiensis	0
Chlamydacanthus_lindavianus	0
Lankesteria_brevior	0
Neuracanthus_umbraticus	0
Pachystachys_dubiosa	0
Justicia_zopilotensis	0
Schaueria_humuliflora	0
Thyrsacanthus_ramosissimus	0
Fittonia_albivenis	0
Tetramerium_glandulosum	0
Carlowrightia_texana	0
Henrya_insularis	0
Chalarothyrsus_amplexicaulis	0
Hoverdenia_speciosa	0
Trichaulax_mwasumbii	0
Chorisochora_transvaalensis	0
Ecbolium_syringifolium	0
Angkalanthus_oligophylla	0
Clinacanthus_nutans	0
Chlamydocardia_buettneri	0
Anisacanthus_trilobus	0
Dicliptera_resupinata	0
Hypoestes_aristata	0
Rhinacanthus_gracilis	0
Poikilacanthus_macranthus	0
Megaskepasma_erythrochlamys	0
Harpochilus_neesianus	0
Duvernoia_extensa	0
Rungia_klossii	0
Anisotes_galpinii	0
Stenostephanus_silvaticus	0
Isoglossa_grandiflora	0
Ptyssiglottis_pubisepala	0
Wuacanthus_microdontus	0
Ruttya_fruticosa	0
Ruspolia_seticalyx	0
Oplonia_microphylla	0
Chileranthemum_pyramidatum	0
Mackaya_bella	0
Asystasia_gangetica	0
Herpetacanthus_stenophyllus	0
Spathacanthus_parviflorus	0
Thunbergia_erecta	0
Mendoncia_cowanii	0
Elytraria_nodosa	0
Anisosepalum_lewallei	0
Saintpauliopsis_lebrunii	0
Avicennia_marina	0
Thomandersia_hensii	0
Proboscidea_parviflora	0
Martynia_annua	0
Holoregmia_viscida	0
Craniolaria_annua	0
Schlegelia_parviflora	0
Exarata_chocoensis	0
Amphitecna_gentryi	0
Spirotecoma_holguinensis	0
Crescentia_alata	0
Parmentiera_cereifera	0
Handroanthus_ochraceus	0
Sparattosperma_leucanthum	0
Roseodendron_donnell-smithii	0
Ekmanianthe_actinophylla	0
Zeyheria_montana	0
Godmania_aesculifolia	0
Cybistax_antisyphilitica	0
Tabebuia_striata	0
Phyllarthron_articulatum	0
Rhodocolea_racemosa	0
Colea_floribunda	0
Dolichandrone_spathacea	0
Kigelia_africana	0
Stereospermum_neuranthum	0
Fernandoa_madagascariensis	0
Newbouldia_laevis	0
Markhamia_lutea	0
Radermachera_frondosa	0
Rhigozum_obovatum	0
Catophractes_alexandri	0
Tecomella_undulata	0
Oroxylum_indicum	0
Millingtonia_hortensis	0
Tanaecium_dichotomum	0
Fridericia_patellifera	0
Xylophragma_myrianthum	0
Cuspidaria_convoluta	0
Tynanthus_panurensis	0
Lundia_corymbifera	0
Manaosella_cordifolia	0
Stizophyllum_perforatum	0
Anemopaegma_parkeri	0
Mansoa_verrucifera	0
Pyrostegia_venusta	0
Bignonia_capreolata	0
Amphilophium_bauhinioides	0
Adenocalymma_cymbalum	0
Martinella_obovata	0
Pleonotoma_jasminifolia	0
Dolichandra_unguis-cati	0
Perianthomega_vellozoi	0
Catalpa_macrocarpa	0
Chilopsis_linearis	0
Delostoma_lobbii	0
Incarvillea_semiretschenskia	0
Neosepicaea_jucunda	0
Tecomanthe_volubilis	0
Campsidium_valdivianum	0
Deplanchea_tetraphylla	0
Lamiodendron_magnificum	0
Podranea_ricasoliana	0
Campsis_radicans	0
Argylia_bustillosii	0
Eccremocarpus_scaber	0
Tourrettia_lappacea	0
Jacaranda_mimosifolia	0
Sesamum_prostratum	0
Dicerocaryum_eriocarpum	0
Josephinia_eugeniae	0
Sesamothamnus_lugardii	0
Pterodiscus_kellerianus	0
Pedalium_murex	0
Pedaliodiscus_macrocarpus	0
Harpagophytum_procumbens	0
Rogeria_longiflora	0
Uncarina_grandidieri	0
Holubia_saccata	0
Lantana_trifolia	0
